Product,Brand,Model,URL
wood router,Bosch,Bosch MRF23EVS,https://www.boschtools.com/us/en/products/mrf23evs-0601624011
wood router,DeWalt,1-1/4 HP Max Torque Variable Speed Compact Router,https://www.dewalt.com/product/dwp611/1-14-hp-max-torque-variable-speed-compact-router
wood router,DeWalt,20V MAX* XR Brushless Cordless Compact Router,https://www.dewalt.com/product/dcw600b/20v-max-xr-brushless-cordless-compact-router
wood router,Makita,Makita RT0701C 1_1/4 HP* Compact Router,https://www.makitatools.com/products/details/RT0701C
wood router,Makita,"Makita XTR01Z 18V LXT Lithium_Ion Brushless Cordless Compact Router",https://www.makitatools.com/products/details/XTR01Z
wood router,Makita,"Makita RP2301FC 3_1/4 HP* Plunge Router",https://www.makitatools.com/products/details/RP2301FC
wood router,Milwaukee,M18 FUEL Compact Router,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/2723-20
wood router,Milwaukee,1-3/4 Max HP BodyGrip Router Kit,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/5615-21
wood router,Milwaukee,3-1/2 Max HP Fixed-Base Production Router,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/5625-20
wood router,Ridgid,5.5 Amp Corded Compact Router,https://www.ridgid.com/us/en/trim-router
wood router,Triton,1010W Compact Precision Plunge Router,https://www.tritontools.com/en-US/product/Power%20Tools/Routers/JOF001
wood router,Grizzly,T27139 - Laminate Trim Router with Plunge Base,https://www.grizzly.com/products/grizzly-laminate-trim-router-with-plunge-base/t27139
wood router,Skil,Router Table and Fixed Base Router Kit,https://www.skil.com/router-table-10amp-fixed-base-router-rt1323-01/
wood router,Skil,10 AMP Fixed Base Corded Router,https://www.skil.com/10amp-fixed-base-router-rt1323-00/
wood router,Rockwell,BladeRunner X2 10 Piece T-Shank Blade Set,https://www.rockwelltools.com/product/bladerunner-x2-10-piece-t-shank-blade-set/
wood router,Axiom Precision,AOD468 - Axiom Pro and Elite Overarm Dust System,https://www.axiomprecision.com/axiom-overarm-dust-system.html
wood router,WEN,RT6033,https://wenproducts.com/products/wen-rt6033-15-amp-variable-speed-plunge-woodworking-router-kit-with-carrying-case-and-edge-guide
