Product,Brand,Model,URL
wet-dry vacuum,Shop-Vac,Contractor Series 6 Gallon* 3.5 Peak HP** - Shop-Vac,https://www.shopvac.com/products/shop-vac-6-gallon-3-5-peak-hp-wet-dry-vacuum
wet-dry vacuum,Karcher,WD 3,https://www.kaercher.com/us/home-garden/wet-and-dry-vacuum-cleaners/wd-3-16281140.html
wet-dry vacuum,Karcher,WD 5 P,https://www.kaercher.com/us/home-garden/wet-and-dry-vacuum-cleaners/wd-5-p-16283110.html
wet-dry vacuum,Karcher,WD 4,https://www.kaercher.com/us/home-garden/wet-and-dry-vacuum-cleaners/wd-4-16282070.html
wet-dry vacuum,Ridgid,6.0-Peak HP NXT,https://store.ridgid.com/us/en/wet-dry-vac
wet-dry vacuum,DeWalt,DXV09P,https://www.dewalt.com/product/dxv09p/5-hp-wetdry-vacuum-9-gal
wet-dry vacuum,DeWalt,DXV06P,https://www.dewalt.com/product/dxv06p/6-gallon-4-hp-portable-wetdry-vacuum
wet-dry vacuum,DeWalt,DXV16PA,https://www.dewalt.com/product/dxv16pa/16-gallon-65-hp-wetdry-vacuum-extra-accessories
wet-dry vacuum,Craftsman,CMXEVBE17590,https://www.craftsman.com/products/cmxevbe17590/4-25-peak-hp-wet-dry-vac-with-attachments-9-gal
wet-dry vacuum,Craftsman,CMXEVBE18695,https://www.craftsman.com/products/cmxevbe18695/16-gallon-6-5-peak-hp-wet-dry-vac-heavy-duty-shop-vacuum
wet-dry vacuum,Vacmaster,Beast Series Professional VFB511B 0201,https://vacmastervacs.ca/5-gallon-5-5-peak-hp-wet-dry-vacuum/
wet-dry vacuum,Milwaukee,M12 FUEL 1.6 Gallon Wet/Dry Vacuum,https://www.milwaukeetool.com/Products/Power-Tools/Vacuums-and-Fans/Wet-Dry-Vacuums/0960-20
wet-dry vacuum,Milwaukee,M18 FUEL PACKOUT 2.5 Gallon Wet/Dry Vacuum,https://www.milwaukeetool.com/Products/Power-Tools/Vacuums-and-Fans/Wet-Dry-Vacuums/0970-20
wet-dry vacuum,Milwaukee,8 Gallon Dust Extractor,https://www.milwaukeetool.com/Products/Power-Tools/Vacuums-and-Fans/Dust-Extractors/8960-20
wet-dry vacuum,Makita,XCV11Z,https://www.makitatools.com/products/details/XCV11Z
wet-dry vacuum,Makita,XCV09Z,https://www.makitatools.com/products/details/XCV09Z
wet-dry vacuum,Stanley,SL18115,https://www.stanleytools.com/product/sl18115/5-gal-4-peak-max-hp-horsepower-pro-stainless-steel-wetdry-vacuum
wet-dry vacuum,Stanley,SL18116P,https://www.stanleytools.com/product/sl18116p/6-gal-4-max-hp-pro-vacuum
wet-dry vacuum,Stanley,SL18129,https://www.stanleytools.com/product/sl18129/4-gal-4-max-hp-vacuum
wet-dry vacuum,Porter-Cable,PCX18604P,https://www.portercable.com/product/pcx18604p-12a/12-gallon-wet-dry-vacuum
wet-dry vacuum,Bissell,MultiClean W&D Drum,https://www.bissell.eu/products/multiclean-w-und-d-drum.html
wet-dry vacuum,Bissell,CrossWave® HydroSteam® Plus 3518,https://www.bissell.com/crosswave-hydrosteam-plus-multi-surface-wet-dry-vac-exclusive-bundle-3518.html?LanguageOK=1&utm_medium=redir&utm_campaign=international&utm_source=canada.bissell.com
wet-dry vacuum,Stihl,SE 62,https://www.stihl.com/STIHL-power-tools-A-great-range/Cleaning-systems/Wet-dry-vacuum-cleaners/Wet-dry-vacuum-cleaners/22279-1546/SE-62.aspx
wet-dry vacuum,Stihl,SE 122,https://www.stihlusa.com/products/vacuums/wet-dry-vacuums/se122/
wet-dry vacuum,Stihl,SE 33,https://www.stihlusa.com/products/vacuums/wet-dry-vacuums/se33/
wet-dry vacuum,Einhell,TC-VC 1812 S,https://www.einhell.de/en/p/2342370/
wet-dry vacuum,Einhell,TE-VC 2230 SA,https://www.einhell.de/en/p/2342363/
wet-dry vacuum,Einhell,TC VC 1930 SA,https://www.einhell.co.za/p/2342190-tc-vc-1930-sa
