Product,Brand,Model,URL
wifi router,Netgear,Nighthawk X10,https://www.netgear.com/home/products/networking/wifi-routers/r9000.aspx
wifi router,Linksys,Velop,https://www.linksys.com/us/c/wifi-router/
wifi router,TP-Link,Archer C7,https://www.tp-link.com/us/home-networking/wifi-router/archer-c7/
wifi router,Asus,RT-AX86U,https://www.asus.com/Networking-IoT-Servers/Wi-Fi-Routers/ASUS-Gaming-Routers/
wifi router,D-Link,DIR-890L,https://us.dlink.com/en/dual-band-wireless-router-ac3200/
wifi router,Cisco,RV345,https://www.cisco.com/c/en/us/products/routers/small-business-rv-series-routers/models-comparison.html
wifi router,Belkin,N600 Dual-Band,https://www.belkin.com/us/p/P-F9K1102/
wifi router,Buffalo,AirStation Extreme,https://www.buffalotech.com/products/wireless/routers
wifi router,Tenda,AC1200 Dual Band,https://www.tendacn.com/en/product/AC9.html
wifi router,Zyxel,Armor Z2,https://www.zyxel.com/us/en/products_services/armor-z2.shtml
wifi router,Ubiquiti Networks,AmpliFi Alien,https://www.ui.com/amplifi/alien/
wifi router,Arris,SURFboard SBR-AC1750,https://www.arris.com/surfboard/products/wi-fi-systems/ac1750-dual-band/
wifi router,Mercury,MW305R,http://www.mercurycom.com.cn/mw305r/product-249.html
wifi router,Xiaomi,Mi AIoT Router AX3600,https://www.mi.com/global/mi-aiot-router-ax3600/
wifi router,Apple,Airport Extreme,https://www.apple.com/airport-extreme/
wifi router,Samsung,SmartThings Wifi,https://www.samsung.com/us/smart-home/mobile-connectivity/smartthings-wifi/Samsung
wifi router,Trendnet,AC2600,https://www.trendnet.com/products/wifi/ac2600/
wifi router,Alcatel-Lucent,7750SR-S,https://www.al-enterprise.com/en/products/routers/7750-service-router
wifi router,Amped Wireless,Ally Plus,https://www.ampedwireless.com/products/allyplus-ac1900/
wifi router,MikroTik,hAP ac,https://mikrotik.com/products/group/wireless-systems
