Product,Brand,Model,URL
wood router,Bosch,Bosch MRF23EVS,https://www.boschtools.com/us/en/products/mrf23evs-0601624011
wood router,DeWalt,DeWalt DWP611,https://www.dewalt.com/product/dwp611/1-14-hp-max-torque-variable-speed-compact-router
wood router,DeWalt,DeWalt DCW600B,https://www.dewalt.com/product/dcw600b/20v-max-xr-brushless-cordless-compact-router
wood router,Makita,Makita RT0701C,https://www.makitatools.com/products/details/RT0701C
wood router,Makita,Makita XTR01Z,https://www.makitatools.com/products/details/XTR01Z
wood router,Makita,Makita RP2301FC,https://www.makitatools.com/products/details/RP2301FC
wood router,Milwaukee,Milwaukee 2723-20,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/2723-20
wood router,Milwaukee,Milwaukee 5615-21,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/5615-21
wood router,Milwaukee,Milwaukee 5625-20,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/5625-20
wood router,Ridgid,Ridgid R24012,https://www.ridgid.com/us/en/trim-router
wood router,Triton,Triton JOF001,https://www.tritontools.com/en-US/product/Power%20Tools/Routers/JOF001
wood router,Porter-Cable,Porter-Cable 690LR,https://www.portercable.com/product/690lr/1-34-hp-fixed-based-router
wood router,Porter-Cable,Porter-Cable 450,https://www.portercable.com/product/450/standard-compact-router
wood router,Grizzly,Grizzly T27139,https://www.grizzly.com/products/grizzly-laminate-trim-router-with-plunge-base/t27139
wood router,Skil,Skil RT1323-01,https://www.skil.com/router-table-10amp-fixed-base-router-rt1323-01/
wood router,Skil,Skil RT1323-00,https://www.skil.com/10amp-fixed-base-router-rt1323-00/
wood router,Rockwell,Rockwell RK7323,https://www.rockwelltools.com/product/bladerunner-x2-10-piece-t-shank-blade-set/
wood router,Axiom Precision,AR4 Pro V5,https://www.axiomprecision.com/axiom-overarm-dust-system.html
wood router,Shaper Tools,Origin,https://www.shapertools.com/en-us/origin
wood router,Shaper Tools,origin workstation,https://www.shapertools.com/en-us/store/package/origin-packages
wood router,WEN,RT6033,https://wenproducts.com/products/wen-rt6033-15-amp-variable-speed-plunge-woodworking-router-kit-with-carrying-case-and-edge-guide
