Product,Brand,Model,URL
wood router,Bosch,PR20EVS,https://www.boschtools.com/us/en/boschtools-ocs/collet-attachments-pr20evs-150506-p/
wood router,Bosch,1619EVS,https://www.boschtools.com/us/en/boschtools-ocs/colt-palm-grip-rotary-tool-1619evs-150837-p/
wood router,Bosch,MRC23EVSK,https://www.boschtools.com/us/en/boschtools-ocs/router-combos-mrc23evsk-136124-p/
wood router,DEWALT,DW618,https://www.dewalt.com/products/power-tools/routers/214hp-variablespeed-plunge-fixedbase-router/dw618/
wood router,DEWALT,DCW600B,https://www.dewalt.com/products/power-tools/routers/20v-max-compact-router/dcw600b/
wood router,DEWALT,DWP611,https://www.dewalt.com/products/power-tools/routers/11-2-hp-max-torque-variable-speed-compact-router-with-leds/dwp611/
wood router,Makita,RT0701C,https://www.makitatools.com/products/details/RT0701C
wood router,Makita,RP1800,https://www.makitatools.com/products/details/RP1800
wood router,Makita,RF1101,https://www.makitatools.com/products/details/RF1101
wood router,Milwaukee,5615-21,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/5615-21
wood router,Milwaukee,2723-20,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/2723-20
wood router,Milwaukee,2723-20,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Routers/2723-20
wood router,Festool,574692,https://www.festoolusa.com/products/routing/hand-routers/1400-series/574692---of-1400-w-eq-router-imperial
wood router,Festool,574342,https://www.festoolusa.com/products/routing/hand-routers/1010-series/574342---of-1010-eq-router
wood router,Festool,574746,https://www.festoolusa.com/products/routing/hand-routers/2200-series/574746---of-2200-eq-router
wood router,Porter-Cable,690LR,https://www.portercable.com/products/power-tools/routers-and-routers-motor-components/routers/1-3-4-hp-fixer-base-router/690lr
wood router,Porter-Cable,892,https://www.portercable.com/products/power-tools/routers-and-routers-motor-components/routers/2-1-4-hp-multi-base-router-kit/892
wood router,Porter-Cable,450,https://www.portercable.com/products/power-tools/routers-and-routers-motor-components/routers/palm-grip-router/450
wood router,Hitachi,M12VE,https://www.hitachipowertools.com/products/tools/power-tools/routers/m12ve
wood router,Hitachi,KM12VC,https://www.hitachipowertools.com/products/tools/power-tools/routers/km12vc
